Ref,Val,Package,PosX,PosY,Rot,Side
"BTNS","Conn_01x05_Socket","PinHeader_1x05_P2.54mm_Vertical",180.460000,-63.820000,90.000000,top
"C1","100nF","C_0603_1608Metric",193.860000,-73.435000,-90.000000,top
"C2","1uF","C_0603_1608Metric",192.350000,-73.435000,-90.000000,top
"C4","0.1 uF","C_0603_1608Metric",197.195000,-69.560000,0.000000,top
"C5","10uF","C_0603_1608Metric",197.195000,-71.140000,0.000000,top
"C7","100nF","C_0603_1608Metric",201.010000,-82.540000,0.000000,top
"C8","100nF","C_0603_1608Metric",195.540000,-75.395000,-90.000000,top
"C9","100nF","C_0603_1608Metric",208.790000,-76.375000,90.000000,top
"H1","MountingHole_Pad","MountingHole_2.5mm_Pad",173.840000,-65.780000,0.000000,top
"H2","MountingHole_Pad","MountingHole_2.5mm_Pad",174.220000,-105.940000,0.000000,top
"H3","MountingHole_Pad","MountingHole_2.5mm_Pad",215.220000,-65.920000,0.000000,top
"H4","MountingHole_Pad","MountingHole_2.5mm_Pad",214.740000,-106.210000,0.000000,top
"HEATING","LED","LED_0805_2012Metric",186.672500,-106.300000,0.000000,top
"J6","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal",200.050000,-64.060000,180.000000,top
"NTC","Conn_01x02_Socket","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",212.890000,-75.790000,90.000000,top
"PRGRM","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",184.740000,-68.070000,90.000000,top
"Q1","AO3400A","SOT-23",205.257500,-86.550000,0.000000,top
"R3","5.1k","R_0603_1608Metric",201.570000,-70.070000,-90.000000,top
"R4","1k","R_0603_1608Metric",201.275000,-85.680000,180.000000,top
"R5","10k","R_0603_1608Metric",198.970000,-87.965000,90.000000,top
"R6","100K","R_0603_1608Metric",208.730000,-72.510000,90.000000,top
"R7","330","R_0603_1608Metric",190.287500,-106.390000,180.000000,top
"R8","330","R_0603_1608Metric",205.622500,-106.150000,180.000000,top
"R9","5.1k","R_0603_1608Metric",200.010000,-70.070000,-90.000000,top
"RDY","LED","LED_0805_2012Metric",202.165000,-106.120000,0.000000,top
"SCREEN","0.91_OLED","Untitled",215.610000,-92.270000,0.000000,top
"SSR","Conn_01x02_Socket","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",214.150000,-86.340000,90.000000,top
"SW1","SW_Push","SW_PUSH_6mm",171.600000,-71.280000,0.000000,top
"SW2","SW_Push","SW_PUSH_6mm",171.600000,-79.830000,0.000000,top
"SW3","SW_Push","SW_PUSH_6mm",171.600000,-88.380000,0.000000,top
"SW4","SW_Push","SW_PUSH_6mm",171.520000,-96.550000,0.000000,top
"U1","CH32V006FxPx","TSSOP-20_4.4x6.5mm_P0.65mm",187.512500,-76.560000,180.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",199.940000,-77.290000,-90.000000,top
